url,length_url,google_index,nb_hyperlinks,nb_subdomains,domain_age,length_words_raw,char_repeat,ratio_extHyperlinks,status
https://www.rga.com/about/workplace,35,0,97,2,11039,4,3,0.030927835,legitimate
http://starasia.com.hk,22,0,168,2,-1,1,0,0.220238095,legitimate
https://www.youtube.com/watch?v=XszqITK-UEw,43,0,52,2,5636,6,3,0.442307692,legitimate
http://www.civico1845.com/,26,0,39,2,1938,2,3,0.41025641,legitimate
http://rapidpaws.com/wp-content/we_transfer/index2.php?email=/,62,1,1,2,1853,8,0,0.0,phishing
https://mykoreankitchen.com/dak-galbi/,38,0,328,1,-1,3,0,0.091463415,legitimate
http://support-appleld.com.secureupdate.duilawyeryork.com/ap/e5a6cdb508f0848?cmd=_update&dispatch=e5a6cdb508f08484d&locale=_US,126,1,51,3,3992,13,2,0.0,phishing
http://quiluc.com.vn,20,0,0,2,-1,1,0,0.0,legitimate
http://www.astro.com/astrology/tma_article160706_e.htm,54,0,340,3,8554,7,3,0.011764706,legitimate
https://huggybearheadcanon.tumblr.com/#_=_,42,0,60,2,5160,3,1,0.183333333,legitimate
https://h4w.livejournal.com/,28,0,148,2,7772,2,0,0.7905405409999999,legitimate
http://wikobbonline.com/verifying.htm?REDACTED,46,1,17,2,0,4,1,0.0,phishing
http://www.webopedia.com/quick_ref/portnumbers.asp,50,0,168,3,8147,6,3,0.375,legitimate
http://www.petitcitron.com/,27,0,157,2,4624,2,3,0.0764331209999999,legitimate
http://www.wikiwand.com/fr/United_States_Pacific_Command,56,1,55,2,2388,7,4,0.145454545,legitimate
http://handle.booktobi.com/img/rank,35,1,0,2,4633,4,1,0.0,phishing
https://verif-main2d.blogspot.com,33,1,14,2,7297,3,0,0.928571429,phishing
http://www.imeipro.info/att-imei-check.html,43,0,113,3,1675,6,4,0.061946903,phishing
https://www.avd.brfbadssecrsavrdskl.my.id/m.id.help.htm,55,1,26,3,1,7,4,0.115384615,phishing
http://www.ita30horas.net/,26,1,0,2,70,2,3,0.0,phishing
http://www.3g4g.co.uk/Hspa/HSPAE_Pres_0811_Andreas.pdf,54,0,0,3,5985,8,4,0.0,legitimate
http://mxtoolbox.com/DnsLookup.aspx,35,0,76,2,5779,3,2,0.039473684,legitimate
http://mail.hethartthuiszorg.nl/~u43730p39181/pki-validation,60,1,0,2,667,5,1,0.0,phishing
http://www.williampermuysalon.com/wp-admin/network/Goooo/Gdriveeee/googledrive/,79,1,15,2,2295,8,17,0.8666666670000001,phishing
https://www.npmjs.com/node-red,30,0,50,2,3777,4,3,0.24,legitimate
http://189.36.52.206/#!/login,29,0,10,3,-1,10,0,0.1,phishing
https://uns.ac.id/id/,21,0,59,2,7951,2,0,0.3559322029999999,legitimate
https://www.slideshare.net/kshitiz_goel/open-source-revenue-model,65,0,197,2,5224,8,3,0.299492386,legitimate
https://en.wikipedia.org/wiki/Batting_average,45,0,265,2,7131,5,1,0.033962264,legitimate
http://www.surfacespa.com/au/,29,1,0,2,3593,3,3,0.0,phishing
